Type,key,National_connect_lat,National_connect_long,zonal_connect_lat,zonal_connect_long,National_connect,zonal_connect,Ready_time,Load
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-15.5811111111111,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,56092,185
Shipment,MOTHERHUB_PTI-MOTHERHUB_STV-3,28.294166,76.855804,21.0895987,72.900005,MOTHERHUB_PTI,MOTHERHUB_STV,10800,1169
Shipment,MOTHERHUB_PTI-MOTHERHUB_STV-8.36083333333333,28.294166,76.855804,21.0895987,72.900005,MOTHERHUB_PTI,MOTHERHUB_STV,30099,31
Shipment,MOTHERHUB_PTI-MOTHERHUB_STV-15.5811111111111,28.294166,76.855804,21.0895987,72.900005,MOTHERHUB_PTI,MOTHERHUB_STV,56092,153
Shipment,MOTHERHUB_STV-MOTHERHUB_AMD-3,21.0895987,72.900005,22.8978044,72.5902141,MOTHERHUB_STV,MOTHERHUB_AMD,10800,455
Shipment,MOTHERHUB_STV-MOTHERHUB_BIL-3,21.0895987,72.900005,19.2374987,73.0362352,MOTHERHUB_STV,MOTHERHUB_BIL,10800,1885
Shipment,MOTHERHUB_STV-MOTHERHUB_BLR-3,21.0895987,72.900005,12.9842798,77.8242648,MOTHERHUB_STV,MOTHERHUB_BLR,10800,2746
Shipment,MOTHERHUB_STV-MOTHERHUB_CHN-3,21.0895987,72.900005,13.04591,80.067723,MOTHERHUB_STV,MOTHERHUB_CHN,10800,442
Shipment,MOTHERHUB_STV-MOTHERHUB_JAI-3,21.0895987,72.900005,26.948928,75.761927,MOTHERHUB_STV,MOTHERHUB_JAI,10800,335
Shipment,MOTHERHUB_STV-MOTHERHUB_KOL-3,21.0895987,72.900005,22.708183,88.28565,MOTHERHUB_STV,MOTHERHUB_KOL,10800,3242
Shipment,MOTHERHUB_STV-MOTHERHUB_MED-3,21.0895987,72.900005,17.580519,78.469527,MOTHERHUB_STV,MOTHERHUB_MED,10800,796
Shipment,MOTHERHUB_STV-MOTHERHUB_PTI-3,21.0895987,72.900005,28.294166,76.855804,MOTHERHUB_STV,MOTHERHUB_PTI,10800,2996
