+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985988503168E17                   | 
| noVehicles    | 36                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_GOA | 149498          | 149498          | 10225659        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_GOA | 149498          | 149498          | 10225659        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_PUNE | 168499          | 168499          | 11525299        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_PUNE | 168499          | 168499          | 11525299        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_BIL | 173804          | 173804          | 11888171        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_BIL | 173804          | 173804          | 11888171        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_MUM | 175015          | 175015          | 11971004        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_MUM | 175015          | 175015          | 11971004        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_CHN-MOTHERHUB_STV | 186559          | 186559          | 12760616        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_STV | 186559          | 186559          | 12760616        |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_STV | 186559          | 186559          | 12760616        |
