Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,Delivery_Start_time,Delivery_end_time
Shipment,MotherHub_KOL_MotherHub_BIL,22.708183,88.28565,19.2374987,73.0362352,MotherHub_KOL,MotherHub_BIL,97200,874,97200,345600
Shipment,MotherHub_MED_MotherHub_GAU,17.580519,78.469527,26.043197,91.705232,MotherHub_MED,MotherHub_GAU,97200,865,97200,345600
Shipment,MotherHub_CHN_KOCHIHUB_COK,13.04591,80.067723,9.984803,76.29502,MotherHub_CHN,KOCHIHUB_COK,97200,848,97200,345600
Shipment,MotherHub_MED_MotherHub_AMD,17.580519,78.469527,22.8978044,72.5902141,MotherHub_MED,MotherHub_AMD,97200,800,97200,345600
Shipment,MotherHub_MED_MotherHub_ABL,17.580519,78.469527,30.396612,76.8116,MotherHub_MED,MotherHub_ABL,97200,736,97200,345600
Shipment,MotherHub_KOL_MotherHub_MED,22.708183,88.28565,17.580519,78.469527,MotherHub_KOL,MotherHub_MED,97200,660,97200,345600
Shipment,MotherHub_CHN_MotherHub_MED,13.04591,80.067723,17.580519,78.469527,MotherHub_CHN,MotherHub_MED,97200,604,97200,345600
Shipment,MotherHub_KOL_MotherHub_ABL,22.708183,88.28565,30.396612,76.8116,MotherHub_KOL,MotherHub_ABL,97200,593,97200,345600
Shipment,MotherHub_KOL_MotherHub_CHN,22.708183,88.28565,13.04591,80.067723,MotherHub_KOL,MotherHub_CHN,97200,560,97200,345600
Shipment,MotherHub_KOL_KOCHIHUB_COK,22.708183,88.28565,9.984803,76.29502,MotherHub_KOL,KOCHIHUB_COK,97200,553,97200,345600
Shipment,MotherHub_KOL_MotherHub_AMD,22.708183,88.28565,22.8978044,72.5902141,MotherHub_KOL,MotherHub_AMD,97200,463,97200,345600
Shipment,MotherHub_CHN_MotherHub_KOL,13.04591,80.067723,22.708183,88.28565,MotherHub_CHN,MotherHub_KOL,97200,391,97200,345600
Shipment,MotherHub_MED_MOTHERHUB_LKO,17.580519,78.469527,26.755912,80.910939,MotherHub_MED,MOTHERHUB_LKO,97200,376,97200,345600
Shipment,MotherHub_CHN_MotherHub_BNL,13.04591,80.067723,28.544869,77.128134,MotherHub_CHN,MotherHub_BNL,97200,367,97200,345600
Shipment,MotherHub_CHN_MotherHub_BIL,13.04591,80.067723,19.2374987,73.0362352,MotherHub_CHN,MotherHub_BIL,97200,365,97200,345600
Shipment,MotherHub_KOL_MOTHERHUB_LKO,22.708183,88.28565,26.755912,80.910939,MotherHub_KOL,MOTHERHUB_LKO,97200,280,97200,345600
Shipment,MotherHub_KOL_MotherHub_Goa,22.708183,88.28565,15.3682554,73.946764,MotherHub_KOL,MotherHub_Goa,97200,249,97200,345600
Shipment,MotherHub_CHN_MotherHub_RAI,13.04591,80.067723,22.056106,82.171855,MotherHub_CHN,MotherHub_RAI,97200,201,97200,345600
Shipment,MotherHub_CHN_MotherHub_GAU,13.04591,80.067723,26.043197,91.705232,MotherHub_CHN,MotherHub_GAU,97200,187,97200,345600
Shipment,MotherHub_CHN_MotherHub_AMD,13.04591,80.067723,22.8978044,72.5902141,MotherHub_CHN,MotherHub_AMD,97200,184,97200,345600
Shipment,MotherHub_CHN_MotherHub_Goa,13.04591,80.067723,15.3682554,73.946764,MotherHub_CHN,MotherHub_Goa,97200,182,97200,345600
Shipment,MotherHub_CHN_MotherHub_PAT,13.04591,80.067723,25.587197,85.185842,MotherHub_CHN,MotherHub_PAT,97200,179,97200,345600
Shipment,MotherHub_CHN_MotherHub_ABL,13.04591,80.067723,30.396612,76.8116,MotherHub_CHN,MotherHub_ABL,97200,135,97200,345600
Shipment,MotherHub_CHN_MOTHERHUB_LKO,13.04591,80.067723,26.755912,80.910939,MotherHub_CHN,MOTHERHUB_LKO,97200,92,97200,345600
