Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Load,delivery_time
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-8.99004166666723,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,32364,636,240996
Shipment,MOTHERHUB_MED-MOTHERHUB_STV-13.7279444444444,17.580519,78.469527,21.0895987,72.900005,MOTHERHUB_MED,MOTHERHUB_STV,49421,76,197002
Shipment,MOTHERHUB_MED-MOTHERHUB_STV-6.96298611111168,17.580519,78.469527,21.0895987,72.900005,MOTHERHUB_MED,MOTHERHUB_STV,25067,163,172648
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-0.344777777777566,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,1241,10,82992
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-13.1408888888892,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,47307,3194,152734
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-16.5096388888892,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,59435,39,152734
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-16.5099305555559,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,59436,30,152734
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-17.7682777777776,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,63966,1340,169392
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-19.7173888888892,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,70983,26,152734
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-21.1370277777776,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,76093,20,169392
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-21.1373194444442,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,76094,11,169392
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-10.7971388888885,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,38870,1207,153821
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-11.7569305555552,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,42325,10,240221
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-11.7572222222219,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,42326,23,240221
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-12.9956527777772,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,46784,3399,161735
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-13.8434444444446,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,49836,3310,164787
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-13.9554444444439,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,50240,25,248135
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-13.9557361111105,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,50241,36,248135
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-13.9557361111106,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,50241,26,248135
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-14.6070555555558,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,52585,6976,167536
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-14.8032361111112,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,53292,19,251187
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-14.8035277777779,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,53293,56,251187
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-15.5668472222224,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,56041,96,253936
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-15.5671388888891,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,56042,308,253936
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-2.02340277777812,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,7284,1859,122235
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-2.98319444444478,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,10740,13,208635
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-2.98348611111145,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,10741,13,208635
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-2.98348611111146,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,10741,17,208635
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-10.6493472222223,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,38338,729,310498
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-11.4532083333329,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,41232,1787,313392
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-15.7934305555556,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,56856,132,254660
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-16.0920972222222,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,57932,88,254660
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-16.9250972222222,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,60930,141,254660
