 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
20, 9-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-1 ,238849,238849,70082398,,,
20, 9-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BIL-1 ,366367,366367,107498409,101.7686111111,4.2403587963,107498.409
20, 9-MOTHERHUB_CHN-32   , end                   , -               ,366367, undef           ,107498409,,,
,,,,,,,,,
21, 6-MOTHERHUB_CHN-24   , start                 , -               , undef           ,0,0,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_PTI ,0,0,0,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_AMD ,0,0,0,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_AMD ,49440,49440,16517487,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_AMD ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_AMD ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_JAI ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_PTI ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_JAI ,179792,179792,60067291,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_PTI ,196908,196908,65785451,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_PTI ,196908,196908,65785451,54.6966666667,2.2790277778,65785.451
21, 6-MOTHERHUB_CHN-24   , end                   , -               ,196908, undef           ,65785451,,,
,,,,,,,,,
22, 2-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
22, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_PTI-1 ,0,0,0,,,
22, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_PTI-1 ,201496,201496,59122498,,,
22, 2-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-2 ,201496,201496,59122498,,,
22, 2-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BIL-2 ,329015,329015,96538509,91.3930555556,3.8080439815,96538.509
22, 2-MotherHub_BLR-32   , end                   , -               ,329015, undef           ,96538509,,,
,,,,,,,,,
23, 4-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_KOL-1 ,0,0,0,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_KOL-1 ,182703,182703,53608157,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_JAI ,182703,182703,53608157,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_PTI ,182703,182703,53608157,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_PTI ,336720,336720,98799526,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_JAI ,336720,336720,98799526,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_JAI ,358504,358504,105191139,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_JAI ,358504,358504,105191139,99.5844444444,4.1493518519,105191.139
23, 4-MotherHub_BLR-32   , end                   , -               ,358504, undef           ,105191139,,,
,,,,,,,,,
24, 6-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
24, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_KOL-2 ,0,0,0,,,
24, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_MED ,0,0,0,,,
24, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_MED ,60938,60938,17880270,,,
