Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-21.2561111111111,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,76522,152,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-3,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,10800,1440,
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-13.9855555555556,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,50348,24,
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-17.9336111111111,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,64561,25,
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-19.6308333333333,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,70671,18,
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-20.0286111111111,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,72103,21,
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-21.2561111111111,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,76522,16,
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN-3,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,10800,235,
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-13.9855555555556,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,50348,48,
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-17.9336111111111,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,64561,82,
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-19.6308333333333,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,70671,35,
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-20.0286111111111,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,72103,60,
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-21.2561111111111,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,76522,31,
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-3,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,10800,236,
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-13.9855555555556,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,50348,86,
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-17.9336111111111,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,64561,101,
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-19.6308333333333,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,70671,61,
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-20.0286111111111,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,72103,79,
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-21.2561111111111,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,76522,58,
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-3,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,10800,561,
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-13.9855555555556,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,50348,456,
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-17.9336111111111,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,64561,744,
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-19.6308333333333,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,70671,295,
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-20.0286111111111,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,72103,587,
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-21.2561111111111,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,76522,286,
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI-3,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,10800,2391,
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-13.9855555555556,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,50348,57,
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-17.9336111111111,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,64561,78,
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-19.6308333333333,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,70671,38,
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-20.0286111111111,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,72103,94,
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-21.2561111111111,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,76522,23,
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV-3,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,10800,173,
Shipment,MOTHERHUB_MED-MOTHERHUB_AMD-3,17.580519,78.469527,22.8978044,72.5902141,MOTHERHUB_MED,MOTHERHUB_AMD,10800,746,
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL-3,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,10800,4645,
Shipment,MOTHERHUB_MED-MOTHERHUB_BLR-3,17.580519,78.469527,12.9842798,77.8242648,MOTHERHUB_MED,MOTHERHUB_BLR,10800,8239,
