 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
30, 9-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_PTI ,261488,261488,76725031,72.6355555556,3.0264814815,76725.031
30, 9-MOTHERHUB_CHN-32   , end                   , -               ,261488, undef           ,76725031,,,
,,,,,,,,,
31, 3-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
31, 3-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_PTI-1 ,0,0,0,,,
31, 3-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_PTI-1 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
31, 3-MotherHub_BLR-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
32, 4-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
32, 4-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_KOL-1 ,0,0,0,,,
32, 4-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_KOL-1 ,182703,182703,53608157,50.7508333333,2.1146180556,53608.157
32, 4-MotherHub_BLR-32   , end                   , -               ,182703, undef           ,53608157,,,
,,,,,,,,,
33, 6-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
33, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_MED ,0,0,0,,,
33, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_STV ,0,0,0,,,
