Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Total
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-9.12333332999999,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,32844,18
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-9.39666667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,33828,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.121666669999996,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,438,14
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-13.9855555555556,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,50348,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-16.20111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,58324,2864
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-17.9336111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,64561,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-19.6308333333333,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,70671,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-2.74361111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,9877,943
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-20.0286111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,72103,14
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-21.2561111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,76522,13
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-21.28972222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,76643,113
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-21.345,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,76842,309
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-21.86444444,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,78712,286
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-21.8775,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,78759,446
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.13083333,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,79671,17
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.41277778,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,80686,27
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.68694444,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,81673,23
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.89722222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,82430,749
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-23.59722222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,84950,281
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-23.85972222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,85895,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-3,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,10800,1027
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-6.10055556,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,21962,42
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-6.36055555999999,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,22898,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-7.07222222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,25460,525
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-0.121666669999996,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,438,21
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-13.9855555555556,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,50348,16
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-16.20111111,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,58324,5623
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-17.9336111111111,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,64561,16
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-19.6308333333333,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,70671,16
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-2.74361111,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,9877,1188
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-20.0286111111111,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,72103,21
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-21.2561111111111,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,76522,20
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-21.28972222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,76643,187
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-21.86444444,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,78712,557
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-21.8775,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,78759,570
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-22.13083333,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,79671,28
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-22.41277778,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,80686,45
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-22.68694444,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,81673,44
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-22.89722222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,82430,721
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-23.59722222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,84950,271
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-23.85972222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,85895,16
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-3,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,10800,1056
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-6.10055556,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,21962,66
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-6.36055555999999,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,22898,16
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-7.07222222,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,25460,889
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-0.121666669999996,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,438,7
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-13.9855555555556,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,50348,7
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-16.20111111,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,58324,2005
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-17.9336111111111,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,64561,7
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-19.6308333333333,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,70671,62
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-2.74361111,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,9877,589
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-20.0286111111111,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,72103,9
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-21.2561111111111,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,76522,7
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-21.28972222,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,76643,72
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-21.345,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,76842,123
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-21.86444444,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,78712,170
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-21.8775,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,78759,290
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-22.13083333,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,79671,10
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-22.41277778,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,80686,25
