Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load
Shipment,MOTHERHUB_MED-MOTHERHUB_JAI,17.580519,78.469527,26.948928,75.761927,MOTHERHUB_MED,MOTHERHUB_JAI,0,781
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,0,2101
Shipment,MOTHERHUB_MED-MOTHERHUB_BAM,17.580519,78.469527,28.545321,77.02914,MOTHERHUB_MED,MOTHERHUB_BAM,0,2888
Shipment,MOTHERHUB_MED-MOTHERHUB_ABL,17.580519,78.469527,30.396612,76.8116,MOTHERHUB_MED,MOTHERHUB_ABL,0,684
Shipment,MOTHERHUB_PUNE-COCHINTCHUB_KAM,18.6087917,73.7268817,10.0435449,76.3367287,MOTHERHUB_PUNE,COCHINTCHUB_KAM,0,53
Shipment,MOTHERHUB_PUNE-MOTHERHUB_CJB,18.6087917,73.7268817,11.0633423,77.0910944,MOTHERHUB_PUNE,MOTHERHUB_CJB,0,35
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BLR,18.6087917,73.7268817,12.9842798,77.8242648,MOTHERHUB_PUNE,MOTHERHUB_BLR,0,576
Shipment,MOTHERHUB_PUNE-MOTHERHUB_CHN,18.6087917,73.7268817,13.04591,80.067723,MOTHERHUB_PUNE,MOTHERHUB_CHN,0,84
Shipment,MOTHERHUB_PUNE-MOTHERHUB_GOA,18.6087917,73.7268817,15.3682554,73.946764,MOTHERHUB_PUNE,MOTHERHUB_GOA,0,34
Shipment,MOTHERHUB_PUNE-MOTHERHUB_MED,18.6087917,73.7268817,17.580519,78.469527,MOTHERHUB_PUNE,MOTHERHUB_MED,0,218
Shipment,MOTHERHUB_PUNE-MOTHERHUB_MUM,18.6087917,73.7268817,19.1170238,72.8580558,MOTHERHUB_PUNE,MOTHERHUB_MUM,0,147
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BIL,18.6087917,73.7268817,19.2374987,73.0362352,MOTHERHUB_PUNE,MOTHERHUB_BIL,0,358
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BBI,18.6087917,73.7268817,20.295471,85.84707,MOTHERHUB_PUNE,MOTHERHUB_BBI,0,42
Shipment,MOTHERHUB_PUNE-MOTHERHUB_STV,18.6087917,73.7268817,21.0895987,72.900005,MOTHERHUB_PUNE,MOTHERHUB_STV,0,122
Shipment,MOTHERHUB_PUNE-MOTHERHUB_RAI,18.6087917,73.7268817,22.056106,82.171855,MOTHERHUB_PUNE,MOTHERHUB_RAI,0,17
Shipment,MOTHERHUB_PUNE-MOTHERHUB_KOL,18.6087917,73.7268817,22.708183,88.28565,MOTHERHUB_PUNE,MOTHERHUB_KOL,0,185
Shipment,MOTHERHUB_PUNE-MOTHERHUB_IDR,18.6087917,73.7268817,22.777113,75.9021171,MOTHERHUB_PUNE,MOTHERHUB_IDR,0,30
Shipment,MOTHERHUB_PUNE-MOTHERHUB_AMD,18.6087917,73.7268817,22.8978044,72.5902141,MOTHERHUB_PUNE,MOTHERHUB_AMD,0,116
Shipment,MOTHERHUB_PUNE-MOTHERHUB_IXR,18.6087917,73.7268817,23.352715,85.343538,MOTHERHUB_PUNE,MOTHERHUB_IXR,0,25
Shipment,MOTHERHUB_PUNE-MOTHERHUB_PAT,18.6087917,73.7268817,25.587197,85.185842,MOTHERHUB_PUNE,MOTHERHUB_PAT,0,50
Shipment,MOTHERHUB_PUNE-MOTHERHUB_GAU,18.6087917,73.7268817,26.043197,91.705232,MOTHERHUB_PUNE,MOTHERHUB_GAU,0,66
Shipment,MOTHERHUB_PUNE-MOTHERHUB_LKO,18.6087917,73.7268817,26.755912,80.910939,MOTHERHUB_PUNE,MOTHERHUB_LKO,0,58
Shipment,MOTHERHUB_PUNE-MOTHERHUB_JAI,18.6087917,73.7268817,26.948928,75.761927,MOTHERHUB_PUNE,MOTHERHUB_JAI,0,98
Shipment,MOTHERHUB_PUNE-MOTHERHUB_PTI,18.6087917,73.7268817,28.294166,76.855804,MOTHERHUB_PUNE,MOTHERHUB_PTI,0,766
Shipment,MOTHERHUB_PUNE-MOTHERHUB_BAM,18.6087917,73.7268817,28.545321,77.02914,MOTHERHUB_PUNE,MOTHERHUB_BAM,0,120
Shipment,MOTHERHUB_PUNE-MOTHERHUB_ABL,18.6087917,73.7268817,30.396612,76.8116,MOTHERHUB_PUNE,MOTHERHUB_ABL,0,61
Shipment,MOTHERHUB_MUM-COCHINTCHUB_KAM,19.1170238,72.8580558,10.0435449,76.3367287,MOTHERHUB_MUM,COCHINTCHUB_KAM,0,14
Shipment,MOTHERHUB_MUM-MOTHERHUB_CJB,19.1170238,72.8580558,11.0633423,77.0910944,MOTHERHUB_MUM,MOTHERHUB_CJB,0,13
Shipment,MOTHERHUB_MUM-MOTHERHUB_BLR,19.1170238,72.8580558,12.9842798,77.8242648,MOTHERHUB_MUM,MOTHERHUB_BLR,0,298
Shipment,MOTHERHUB_MUM-MOTHERHUB_CHN,19.1170238,72.8580558,13.04591,80.067723,MOTHERHUB_MUM,MOTHERHUB_CHN,0,25
Shipment,MOTHERHUB_MUM-MOTHERHUB_GOA,19.1170238,72.8580558,15.3682554,73.946764,MOTHERHUB_MUM,MOTHERHUB_GOA,0,9
Shipment,MOTHERHUB_MUM-MOTHERHUB_MED,19.1170238,72.8580558,17.580519,78.469527,MOTHERHUB_MUM,MOTHERHUB_MED,0,104
Shipment,MOTHERHUB_MUM-MOTHERHUB_PUNE,19.1170238,72.8580558,18.6087917,73.7268817,MOTHERHUB_MUM,MOTHERHUB_PUNE,0,43
Shipment,MOTHERHUB_MUM-MOTHERHUB_BIL,19.1170238,72.8580558,19.2374987,73.0362352,MOTHERHUB_MUM,MOTHERHUB_BIL,0,378
Shipment,MOTHERHUB_MUM-MOTHERHUB_BBI,19.1170238,72.8580558,20.295471,85.84707,MOTHERHUB_MUM,MOTHERHUB_BBI,0,12
Shipment,MOTHERHUB_MUM-MOTHERHUB_STV,19.1170238,72.8580558,21.0895987,72.900005,MOTHERHUB_MUM,MOTHERHUB_STV,0,59
