Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,DH,dest_mh,ready_time,Load,pickup_add_time,finalready_time
Shipment,MOTHERHUB_BAM-BAREILLYHUB_BRY-c,28.545321,77.02914,28.381579,79.435057,BAREILLYHUB_BRY,MOTHERHUB_BAM,72000,179,14400,86400
Shipment,MOTHERHUB_BAM-BAREILLYHUB_BRY-p,28.545321,77.02914,28.381579,79.435057,BAREILLYHUB_BRY,MOTHERHUB_BAM,72000,491,0,72000
Shipment,MOTHERHUB_BAM-BAREILLYMPHUB_BRY-c,28.545321,77.02914,28.381579,79.435057,BAREILLYMPHUB_BRY,MOTHERHUB_BAM,72000,22,14400,86400
Shipment,MOTHERHUB_BAM-BAREILLYMPHUB_BRY-p,28.545321,77.02914,28.381579,79.435057,BAREILLYMPHUB_BRY,MOTHERHUB_BAM,72000,1,0,72000
Shipment,MOTHERHUB_BAM-BHIWANIHUB_DEL-c,28.545321,77.02914,28.791677,76.157361,BHIWANIHUB_DEL,MOTHERHUB_BAM,72000,64,14400,86400
Shipment,MOTHERHUB_BAM-BHIWANIHUB_DEL-p,28.545321,77.02914,28.791677,76.157361,BHIWANIHUB_DEL,MOTHERHUB_BAM,72000,303,0,72000
Shipment,MOTHERHUB_BAM-BRITANIACHOWKMPHUB_DEL-c,28.545321,77.02914,28.678493,77.149203,BRITANIACHOWKMPHUB_DEL,MOTHERHUB_BAM,72000,348,14400,86400
Shipment,MOTHERHUB_BAM-BRITANIACHOWKMPHUB_DEL-p,28.545321,77.02914,28.678493,77.149203,BRITANIACHOWKMPHUB_DEL,MOTHERHUB_BAM,72000,1571,0,72000
Shipment,MOTHERHUB_BAM-CHHATARPURHUB_DEL-c,28.545321,77.02914,28.45273,77.186017,CHHATARPURHUB_DEL,MOTHERHUB_BAM,,163,,0
Shipment,MOTHERHUB_BAM-CHHATARPURHUB_DEL-p,28.545321,77.02914,28.45273,77.186017,CHHATARPURHUB_DEL,MOTHERHUB_BAM,,560,,0
Shipment,MOTHERHUB_BAM-CHHATARPURMPHUB_DEL-c,28.545321,77.02914,24.9,79.6,CHHATARPURMPHUB_DEL,MOTHERHUB_BAM,72000,418,14400,86400
Shipment,MOTHERHUB_BAM-CHHATARPURMPHUB_DEL-p,28.545321,77.02914,24.9,79.6,CHHATARPURMPHUB_DEL,MOTHERHUB_BAM,72000,279,0,72000
Shipment,MOTHERHUB_BAM-CITYCENTERHUB_GWL-c,28.545321,77.02914,21.1373484,80.2469986,CITYCENTERHUB_GWL,MOTHERHUB_BAM,72000,280,14400,86400
Shipment,MOTHERHUB_BAM-CITYCENTERHUB_GWL-p,28.545321,77.02914,21.1373484,80.2469986,CITYCENTERHUB_GWL,MOTHERHUB_BAM,72000,901,0,72000
Shipment,MOTHERHUB_BAM-DARYAGANJMPHUB_DEL-c,28.545321,77.02914,28.6,77.2,DARYAGANJMPHUB_DEL,MOTHERHUB_BAM,72000,387,14400,86400
